# 우리 앱에 없는 한자어 후보 — 베트남 학습자용 TOPIK 강의 71편(16시간 32분)에서 셌다.
# 출처: blog topik · Topik 3급. · 에어클래스 (~/yt-조사/_출처.tsv)
# **그대로 넣지 말 것.** 사전이 동음이의어를 잘못 붙인 자리가 있다 —
#   부족=部族(X, 시험에선 不足) · 과장=課長/誇張 · 인상=印象/引上 · 감사=感謝/監査
# 한자를 하나씩 확인한 뒤에 베트남어 다리를 놓는다. 자동 확장 금지.
한국어	한자	등급	강의출현
정말	正	B	135
중요	重要	B	94
동물	動物	A	69
부모	父母	A	68
사용	使用	B	62
해결	解決	B	51
경기	競技	B	51
준비	準備	A	49
이용	用	B	49
계속	繼續	A	46
확인	確認	B	45
인기	人氣	B	44
가능	可能	C	40
보호	保護	B	37
부족	部族	B	37
진행	進行	C	37
평가	評價	C	37
선생	先生	A	34
공연	公演	B	34
투자	投資	C	34
참여	參與	C	34
과장	課長	B	33
결정	決定	B	32
인하다	因	C	32
증가	增加	C	31
업무	業務	B	30
관리	管理	B	30
청소년	靑少年	B	30
피해	被害	C	30
청년	靑年	B	30
인상	印象	B	29
미래	未來	B	29
발달	發達	B	29
도서관	圖書館	A	28
성공	成功	B	28
미국	美國	A	27
비용	費用	B	27
예약	豫約	B	27
위험	危險	A	27
지구	地球	B	27
발생	發生	B	26
행복	幸福	B	25
가수	歌手	A	25
유명	有名	B	25
감사	感謝	A	25
전통	傳統	B	25
예상	豫想	B	24
수업	授業	A	24
전문가	專門家	B	24
기대	期待	B	23
홍보	弘報	C	23
적극	積極	B	23
반대	反對	B	23
체험	體驗	C	23
번호	番號	A	22
설명	說明	A	22
화제	話題	C	22
치료	治療	B	21
자녀	子女	C	21
도전	挑戰	C	21
기능	機能	C	21
선택	選擇	B	20
이해	解	B	20
고민	苦悶	B	20
발견	發見	B	20
기준	基準	B	20
전공	專攻	B	20
활용	活用	C	20
대학교	大學校	A	19
추천	推薦	C	19
건물	建物	A	19
발표	發表	B	19
혜택	惠澤	C	19
정하다	定	B	19
사례	事例	C	19
의학	醫學	C	19
예방	豫防	C	19
신경	神經	C	18
항상	恒常	A	18
예정	豫定	B	18
반응	反應	C	18
축제	祝祭	B	18
가입	加入	C	18
소비	消費	C	18
대중	大衆	B	18
범죄	犯罪	C	18
특징	特徵	B	18
독서	讀書	B	18
오염	汚染	C	17
현장	現場	C	17
환자	患者	A	17
별로	別	B	17
소득	所得	C	17
감동	感動	B	16
안정	安定	C	16
거리	距離	C	16
축하	祝賀	B	16
기회	機會	B	16
도입	導入	C	16
재생	再生	C	16
기후	氣候	C	16
농촌	農村	B	16
실제로	實際	C	16
비밀	秘密	B	16
고장	故障	B	15
주택	住	B	15
집중	集中	B	15
관람	觀覽	C	15
주인공	主人公	B	15
조선	朝鮮	C	15
유행	行	B	15
장점	長點	B	15
연예인	演藝人	C	15
부담	負擔	C	15
주제	主題	B	15
실시	實施	C	15
재료	材料	B	15
식물	植物	B	15
해외	海外	B	14
기억	記憶	B	14
공기	空器	C	14
참석	參席	C	14
사원	社員	B	14
요청	要請	B	14
근무	勤務	B	14
작성	作成	C	14
관객	觀客	B	14
졸업	卒業	A	14
이동	移動	B	14
훈련	訓鍊	C	14
무조건	無條件	B	14
위기	危機	C	14
단순히	單純	B	14
자원	資源	C	14
신체	身體	B	14
성장	成長	C	14
대답	對答	A	14
보통	普通	A	14
문제점	問題點	B	14
의도	意圖	C	14
주식	株式	C	14
혹시	或是	C	14
인류	人類	C	14
세탁기	洗濯機	A	14
자유	自由	B	14
등장	登場	C	14
구하다	救	B	14
제작	製作	C	14
법칙	法則	C	14
감정	感情	B	13
보관	保管	C	13
박사	博士	B	13
무대	舞臺	C	13
성적	成績	B	13
교수	敎授	A	13
덕분	德分	B	13
부탁	付託	B	13
위반	違反	B	13
강의	講義	C	13
만화	漫畵	B	13
실천	實踐	C	13
실제	實際	B	13
노인	老人	B	13
처벌	處罰	C	13
질병	疾病	C	13
실패	失敗	B	13
소비자	消費者	B	13
주의	注意	C	13
지식	知識	C	13
갈등	葛藤	C	12
합격	合格	B	12
심하다	甚	B	12
입학	入學	B	12
검토	檢討	C	12
직장	職場	B	12
경영	經營	B	12
추가	追加	C	12
명절	名節	B	12
질문	質問	A	12
봉사	奉仕	C	12
일반	一般	B	12
처리	處理	C	12
풍경	風景	B	12
책임	責任	B	12
오전	午前	A	12
제공	提供	C	12
장면	場面	C	12
조절	調節	C	12
전달	傳達	C	12
연필	鉛筆	A	12
학습	學習	B	12
희생	犧牲	C	12
자살	自殺	C	12
녹색	綠色	B	12
수영	水泳	A	11
고생	苦生	B	11
외국어	外國語	A	11
수술	手術	B	11
화장	化粧	C	11
출산	出産	C	11
방안	方案	C	11
감소	減少	C	11
남성	男性	B	11
공개	公開	C	11
취업	就業	C	11
할인	割引	B	11
